ApplNo	ApplType	ApplPublicNotes	SponsorName
012845	NDA		PFIZER
012892	NDA		SHIRE
012911	NDA		ESTEVE
012928	NDA		LILLY
012947	NDA		LEDERLE
012967	NDA		BRACCO
012968	NDA		BRACCO
013025	NDA		HOSPIRA
013026	NDA		WYETH PHARMS
013055	NDA		PAI HOLDINGS PHARM
013056	NDA		ABBOTT
013092	NDA		PURDUE FREDERICK
013093	NDA		PHARM RES ASSOC
013157	NDA		LILLY
013174	NDA		ADVANZ PHARMA
013217	NDA		KING PHARMS
013220	NDA		MERCK
013263	NDA		WAYLIS THERAP
013264	NDA		LEDERLE
013295	NDA		LIEBEL-FLARSHEIM
013296	NDA		3M
013319	NDA		MALLINCKRODT
013334	NDA		MERCK
013378	NDA		LILLY
013400	NDA		MERCK
013401	NDA		MERCK
013402	NDA		MERCK
013413	NDA		UCB INC
013416	NDA		BAUSCH
013422	NDA		HARROW EYE
013428	NDA		ENDO PHARMS
013483	NDA		SCHERING PLOUGH
013601	NDA		APOTHECON
013615	NDA		DOW PHARM
013621	NDA		SANOFI AVENTIS US
013625	NDA		ACTAVIS LABS UT INC
013636	NDA		PFIZER
013664	NDA		ROCHE
013684	NDA		BAXTER HLTHCARE
013731	NDA		GE HEALTHCARE
013790	NDA		INA PHARMS
013934	NDA		GLAXOSMITHKLINE
013935	NDA		ALLERGAN
013960	NDA		EUROFARMA
013993	NDA		BRACCO
014006	NDA		ORGANON USA INC
014103	NDA		LILLY
014122	NDA		WYETH AYERST
014134	NDA		BAXTER HLTHCARE CORP
014169	NDA		ALCON
014214	NDA		SANOFI AVENTIS US
014215	NDA		MERCK SHARP DOHME
014217	NDA		PAMLAB LLC
014242	NDA		UCB INC
014295	NDA		MALLINCKRODT
014349	NDA		PERSONAL PRODS
014359	NDA		HALSEY
014394	NDA		ASTRAZENECA
014399	NDA		VALIDUS PHARMS
014474	NDA		STANLABS PHARM
014601	NDA		PVT FORM
014602	NDA		ORGANON
014684	NDA		LILLY
014713	NDA		SCHERING
014715	NDA		NEW RIVER
014738	NDA		B BRAUN
014740	NDA		ROCHE
014763	NDA		ASTRAZENECA
014764	NDA		ROBINS AH
014860	NDA		SANOFI AVENTIS US
