decision_id,company_name,drug_brand,decision_date,application_number,crosscheck_status,openfda_sponsor_name,openfda_brand_name,openfda_decision_date,openfda_source_url,detail
D008,Merck & Co.,Winrevair,2024-03-26,761363,MATCH,MERCK SHARP DOHME,WINREVAIR,2024-03-26,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761363,"date, brand and sponsor all agree with openFDA"
D010,Akebia Therapeutics,Vafseo,2024-03-27,215192,MATCH,AKEBIA,VAFSEO,2024-03-27,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=215192,"date, brand and sponsor all agree with openFDA"
D009,CSL Limited,Voydeya,2024-03-29,218037,MATCH_DATE_ONLY,ALEXION PHARMS INC,VOYDEYA,2024-03-29,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218037,date and brand agree; sponsor wording differs (master 'CSL Limited' vs openFDA 'ALEXION PHARMS INC') — ownership change or legal-entity name
D011,Basilea Pharmaceutica (developer) / Innoviva (US rights holder),Zevtera,2024-04-03,218275,MATCH_DATE_ONLY,ISTX,ZEVTERA,2024-04-03,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218275,date and brand agree; sponsor wording differs (master 'Basilea Pharmaceutica (developer) / Innoviva (US rights holder)' vs openFDA 'ISTX') — ownership change or legal-entity name
D012,Lumicell Inc. (private),Lumisight,2024-04-17,214511,MATCH,LUMICELL,LUMISIGHT,2024-04-17,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=214511,"date, brand and sponsor all agree with openFDA"
D013,ImmunityBio,Anktiva,2024-04-22,761336,MATCH_DATE_ONLY,"ALTOR BIOSCIENCE, LLC, AN INDIRECT WHOLLY-OWNED SU",ANKTIVA,2024-04-22,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761336,"date and brand agree; sponsor wording differs (master 'ImmunityBio' vs openFDA 'ALTOR BIOSCIENCE, LLC, AN INDIRECT WHOLLY-OWNED SU') — ownership change or legal-entity name"
D014,Day One Biopharmaceuticals,Ojemda,2024-04-23,217700,MATCH,DAY ONE BIOPHARMS,OJEMDA,2024-04-23,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=217700,"date, brand and sponsor all agree with openFDA"
D015,X4 Pharmaceuticals,Xolremdi,2024-04-26,218709,MATCH,X4 PHARMS,XOLREMDI,2024-04-26,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218709,"date, brand and sponsor all agree with openFDA"
D016,Amgen,Imdelltra,2024-05-16,761344,MATCH,AMGEN INC,IMDELLTRA (AMG757),2024-05-16,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761344,"date, brand and sponsor all agree with openFDA"
D017,Geron Corporation,Rytelo,2024-06-06,217779,MATCH,GERON,RYTELO,2024-06-06,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=217779,"date, brand and sponsor all agree with openFDA"
