audit_id,year,application_number,application_kind,drug_brand,drug_generic,openfda_holder,payload_decision_date,payload_class_code,payload_class_description,payload_review_priority,tracked_in,tracked_row_id,tracked_table_date,tracked_table_class,tracked_table_priority,date_agreement,class_agreement,priority_agreement,matched_via,verdict,review_flag,source_url_drugsatfda,source_query_url
F1985-050,1985,NDA019480,NDA,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SODIUM CHLORIDE 900MG/100ML,HOSPIRA,1985-09-17,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019480,1985-09-17,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019480,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-051,1985,NDA018332,NDA,INDOCIN,INDOMETHACIN,COSETTE,1985-10-10,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018332,1985-10-10,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018332,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-052,1985,NDA019368,NDA,MOCTANIN,MONOCTANOIN 100%,ETHITEK,1985-10-29,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,fda_decisions_master.csv,D1039,1985-10-29,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019368,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-053,1985,NDA018705,NDA,NITROLINGUAL,NITROGLYCERIN,POHL BOSKAMP,1985-10-31,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018705,1985-10-31,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018705,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-054,1985,NDA018830,NDA,TAMBOCOR,FLECAINIDE ACETATE 150MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,ALVOGEN,1985-10-31,TYPE 1,Type 1 - New Molecular Entity,STANDARD,fda_decisions_master.csv,D1040,1985-10-31,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,NO (Priority vs STANDARD),application_number,TRACKED_REVIEW,priority differs between sources: tracking 'Priority' vs payload 'STANDARD' (Compilation/curated designation vs Drugs@FDA submission field),https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018830,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-055,1985,NDA019434,NDA,TAGAMET HYDROCHLORIDE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,CIMETIDINE HYDROCHLORIDE EQ 6MG BASE/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,GLAXOSMITHKLINE,1985-10-31,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019434,1985-10-31,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019434,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-056,1985,NDA019194,NDA,SYPRINE,TRIENTINE HYDROCHLORIDE,BAUSCH,1985-11-08,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,fda_decisions_master.csv,D1041,1985-11-08,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019194,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-057,1985,NDA050587,NDA,PRIMAXIN,IMIPENEM AND CILASTATIN SODIUM,MERCK,1985-11-26,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination,PRIORITY,fda_decisions_master.csv,D1043,1985-11-26,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050587,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-058,1985,NDA019478,NDA,ADALAT,NIFEDIPINE 20MG,BAYER PHARMS,1985-11-27,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019478,1985-11-27,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019478,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-059,1985,NDA019240,NDA,E-Z SCRUB 201,POVIDONE-IODINE 20%,BECTON DICKINSON,1985-11-29,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019240,1985-11-29,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019240,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
