row_id,application_number,probe_file,probe_url,probe_sha256,live_orig_date,live_class_code,live_review_priority,live_sponsor,status,checked_against_payload
PRE1980AUDIT-1978-57,NDA017923,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-58,NDA018066,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-59,NDA050517,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-60,NDA050523,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-61,NDA050514,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-62,NDA018052,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-63,NDA019854,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-64,NDA018035,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-65,NDA018057,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-66,NDA017979,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-01,NDA017989,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-02,NDA018025,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-03,NDA018181,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-04,NDA018183,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-05,NDA017385,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-06,NDA017390,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-07,NDA017438,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-08,NDA017634,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-09,NDA018058,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-10,NDA017378,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-11,NDA017451,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-12,NDA017484,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-13,NDA017648,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-14,NDA018008,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-15,NDA018016,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-16,NDA018037,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-17,NDA017862,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-18,NDA018230,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-19,NDA017971,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-20,NDA018182,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-21,NDA018090,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-22,NDA050521,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-23,NDA050522,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-24,NDA018074,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-25,NDA018027,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-26,NDA018024,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-27,NDA018203,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-28,NDA018184,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-29,NDA050519,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-30,NDA016792,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-31,NDA018031,,,,,,,,PROBE_PENDING,probe capture pending
