company_name,ticker,us_investable_class,total_original_non_nme,distinct_applications,n_type2_new_active,n_type3_new_dosage,n_type4_new_combination,n_type5_formulation_or_manufacturer,n_new_indication_original,n_biosimilar_or_unpublished_bla,n_medical_gas,n_other,clinical_relevant_count,priority_review_count,priority_review_share_pct,first_orig_date,last_orig_date,orig_last_5y,orig_velocity_per_yr,novel_approvals_tracked,rows_flagged_for_review,evidence_basis,verification_status
Theravance Biopharma,INVA,US-LISTED,1,1,0,0,0,0,1,0,0,0,1,0,0.0,2013-06-21,2013-06-21,0,0.0,4,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=INVA) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
BioMarin Pharmaceutical Inc.,BMRN,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,0,0.0,2013-12-19,2013-12-19,0,0.0,6,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=BMRN) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Exelixis, Inc.",EXEL,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,1,100.0,2016-04-25,2016-04-25,0,0.0,1,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=EXEL) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Catalyst Pharmaceuticals,CPRX,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,0,0.0,2016-04-29,2016-04-29,0,0.0,2,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=CPRX) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Ironwood Pharmaceuticals, Inc. (acquired by Alfasigma 2024)",IRWD,FORMERLY US-LISTED (DELISTED/ACQUIRED),1,1,0,0,1,0,0,0,0,0,1,0,0.0,2017-08-18,2017-08-18,0,0.0,1,1,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=IRWD) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records - 1 row(s) flagged for review
Zevra Therapeutics,ZVRA,US-LISTED,1,1,0,0,1,0,0,0,0,0,1,1,100.0,2018-02-23,2018-02-23,0,0.0,1,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=ZVRA) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Insmed,INSM,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,1,100.0,2018-09-28,2018-09-28,0,0.0,2,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=INSM) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Agile Therapeutics, Inc.",AGRX,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,0,0.0,2020-02-14,2020-02-14,0,0.0,0,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=AGRX) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Epizyme, Inc.",EPZM,US-LISTED,1,1,0,0,0,0,1,0,0,0,1,1,100.0,2020-06-18,2020-06-18,0,0.0,1,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=EPZM) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Vanda Pharmaceuticals Inc.,VNDA,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,1,100.0,2020-12-01,2020-12-01,0,0.0,5,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=VNDA) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
