ApplNo	ApplType	ApplPublicNotes	SponsorName
010926	NDA		PHARMOBEDIENT
010927	NDA		BRACCO
010929	NDA		BRACCO
010942	NDA		WYETH AYERST
010971	NDA		WYETH AYERST
010976	NDA		GD SEARLE LLC
010996	NDA		XANODYNE PHARM
010997	NDA		XANODYNE PHARM
011000	NDA		GLAXOSMITHKLINE
011011	NDA		ENDO OPERATIONS
011073	NDA		MEDPOINTE PHARM HLC
011111	NDA		PFIZER
011120	NDA		GLAXOSMITHKLINE
011123	NDA		BRISTOL MYERS SQUIBB
011127	NDA		GLAXOSMITHKLINE
011145	NDA		RISING
011153	NDA		PFIZER
011161	NDA		ASTELLAS
011188	NDA		GLAXOSMITHKLINE
011210	NDA		PFIZER
011213	NDA		SCHERING
011228	NDA		ORGANON USA INC
011245	NDA		BRACCO
011265	NDA		ANI PHARMS
011270	NDA		SHIRE
011283	NDA		DELCOR ASSET CORP
011287	NDA		CONCORDIA
011323	NDA		SHIRE
011324	NDA		BRACCO
011325	NDA		APOTHECON
011338	NDA		WYETH AYERST
011340	NDA		PHARM RES ASSOC
011366	NDA		XERIS
011386	NDA		GE HEALTHCARE
011418	NDA		WYETH AYERST
011467	NDA		SANOFI AVENTIS US
011483	NDA		SUN PHARM INDUSTRIES
011522	NDA		TEVA WOMENS
011525	NDA		RENEW PHARMS
011529	NDA		JANSSEN R AND D
011552	NDA		GLAXOSMITHKLINE
011556	NDA		NOVARTIS
011557	NDA		SCHERING
011559	NDA		PH HEALTH
011600	NDA		EXTROVIS
011601	NDA		PHARMOBEDIENT
011613	NDA		UCB INC
011620	NDA		BRACCO
011635	NDA		MERCK
011641	NDA		PFIZER
011657	NDA		FOREST LABS
011664	NDA		MERCK
011665	NDA		BAUSCH
011673	NDA		3M
011679	NDA		ABBOTT
011683	NDA		IMMUNEX
011685	NDA		FOSUN PHARMA
011689	NDA		PHARMOBEDIENT
011702	NDA		SUN PHARM INDUSTRIES
011707	NDA		ENDO PHARMS
011719	NDA		HOSPIRA
011721	NDA		LEDERLE
011722	NDA		MPP PHARMA
011730	NDA		HIKMA
011738	NDA		ENDO PHARMS
011751	NDA		APOTHECON
011757	NDA		PFIZER
011777	NDA		MALLINCKRODT
011790	NDA		HIKMA
011792	NDA		MYLAN SPECIALITY LP
011793	NDA		NOVARTIS
011795	NDA		PFIZER
011808	NDA		NOVARTIS
011835	NDA		MERCK
011836	NDA		SANOFI AVENTIS US
011838	NDA		NOVARTIS
011839	NDA		PFIZER
011856	NDA		PHARMACIA AND UPJOHN
011860	NDA		MERCK
011870	NDA		SALIX PHARMS
011878	NDA		NOVARTIS
011891	NDA		ORGANON USA INC
011909	NDA		PARKE DAVIS
011949	NDA		SHIRE LLC
011960	NDA		ASTELLAS
011961	NDA		LIFSA DRUGS
011963	NDA		FERA PHARMS LLC
011971	NDA		ABBVIE
011977	NDA		MERCK
011983	NDA		MERCK
011984	NDA		MERCK
012003	NDA		ABBVIE
012015	NDA		EPIC PHARMA LLC
012034	NDA		SCHERING
012041	NDA		APOTHECON
012052	NDA		MERCK
012071	NDA		MERCK
012093	NDA		BAUSCH
012095	NDA		PHARMACIA AND UPJOHN
012097	NDA		DELCOR ASSET CORP
012102	NDA		3M
012111	NDA		ALCON
012122	NDA		LILLY
012125	NDA		EASTMAN KODAK
012141	NDA		BAXTER HLTHCARE
012142	NDA		BAXTER HLTHCARE
012145	NDA		APOTHECON
012148	NDA		ABBVIE
012151	NDA		PFIZER
012157	NDA		BAUSCH
012164	NDA		APOTHECON
012179	NDA		HIKMA
012193	NDA		NOVARTIS
012209	NDA		SPECTRUM PHARMS
012223	NDA		PAI HOLDINGS PHARM
012249	NDA		VALEANT PHARM INTL
012250	NDA		HOSPIRA
012254	NDA		SCHERING
012265	NDA		SCHERING
012281	NDA		ROBINS AH
012283	NDA		SANOFI AVENTIS US
012301	NDA		BAUSCH
012329	NDA		NOVARTIS
012342	NDA		ADVANZ PHARMA
012359	NDA		SHIRE
012365	NDA		MEDA PHARMS
012366	NDA		MEDA PHARMS
012376	NDA		MERCK
012380	NDA		PARKE DAVIS
012382	NDA		HIKMA
012383	NDA		MERCK
012402	NDA		PROCTER AND GAMBLE
012418	NDA		ABBVIE
012419	NDA		SCHERING
012421	NDA		PHARMACIA AND UPJOHN
012427	NDA		PFIZER
012462	NDA		PFIZER
012486	NDA		ROCHE
012487	NDA		ROCHE
012489	NDA		AH ROBINS INC
012515	NDA		DELCOR ASSET CORP
012516	NDA		NOVARTIS
012524	NDA		ABBVIE
012541	NDA		PFIZER
012542	NDA		NOVARTIS
012546	NDA		ANI PHARMS
012583	NDA		ALLERGAN
012616	NDA		PFIZER
012623	NDA		PFIZER
012649	NDA		MERCK
012657	NDA		SCHERING
012674	NDA		ASPEN GLOBAL INC
012675	NDA		ASPEN GLOBAL INC
012697	NDA		VALEANT PHARM INTL
012699	NDA		GD SEARLE LLC
012703	NDA		ASTRAZENECA
012704	NDA		ASTRAZENECA
012728	NDA		ORTHO MCNEIL PHARM
012731	NDA		MERCK
012753	NDA		NOVARTIS
012754	NDA		NOVARTIS
012770	NDA		SAPTALIS PHARMS
012772	NDA		LILLY
012775	NDA		ABBOTT
012787	NDA		EUROFARMA
012796	NDA		WYETH PHARMS INC
012802	NDA		FOSUN PHARMA
012813	NDA		ALLERGAN
012827	NDA		CASPER PHARMA LLC
012836	NDA		BOEHRINGER INGELHEIM
012845	NDA		PFIZER
012885	NDA		LUNDBECK INC
012892	NDA		SHIRE
012911	NDA		ESTEVE
012928	NDA		LILLY
012940	NDA		BIOVAIL
012945	NDA		TEVA BRANDED PHARM
012947	NDA		LEDERLE
012967	NDA		BRACCO
012968	NDA		BRACCO
013055	NDA		PAI HOLDINGS PHARM
013056	NDA		ABBOTT
013077	NDA		ASTRAZENECA
013132	NDA		WOODWARD SPECL
013157	NDA		LILLY
013174	NDA		ADVANZ PHARMA
013217	NDA		KING PHARMS
013220	NDA		MERCK
013247	NDA		NOVARTIS
013263	NDA		WAYLIS THERAP
013264	NDA		LEDERLE
013295	NDA		LIEBEL-FLARSHEIM
013334	NDA		MERCK
013378	NDA		LILLY
013400	NDA		MERCK
013401	NDA		MERCK
013402	NDA		MERCK
013413	NDA		UCB INC
013416	NDA		BAUSCH
013422	NDA		HARROW EYE
013428	NDA		ENDO PHARMS
013483	NDA		SCHERING PLOUGH
013601	NDA		APOTHECON
013625	NDA		ACTAVIS LABS UT INC
013636	NDA		PFIZER
013684	NDA		BAXTER HLTHCARE
013790	NDA		INA PHARMS
013934	NDA		GLAXOSMITHKLINE
013935	NDA		ALLERGAN
013960	NDA		EUROFARMA
014005	NDA		ORGANON USA INC
014103	NDA		LILLY
014122	NDA		WYETH AYERST
014127	NDA		ASTRAZENECA
014134	NDA		BAXTER HLTHCARE CORP
014169	NDA		ALCON
014173	NDA		WYETH AYERST
014214	NDA		SANOFI AVENTIS US
014215	NDA		MERCK SHARP DOHME
014295	NDA		MALLINCKRODT
014349	NDA		PERSONAL PRODS
014359	NDA		HALSEY
014399	NDA		VALIDUS PHARMS
014547	NDA		SANDOZ
014684	NDA		LILLY
014685	NDA		RANBAXY
014691	NDA		APOTEX
014694	NDA		ASPEN GLOBAL INC
014738	NDA		B BRAUN
014882	NDA		CHARTWELL MOLECULAR
015072	NDA		MALLARD
015103	NDA		SANOFI AVENTIS US
015197	NDA		HIKMA
015229	NDA		EPIC PHARMA LLC
015230	NDA		HIKMA
015296	NDA		EUROFARMA
015417	NDA		WEST WARD
021171	NDA		HOSPIRA
021380	NDA		DENTSPLY PHARM
021381	NDA		DENTSPLY PHARM
021624	NDA		MYLAN INSTITUTIONAL
050023	NDA		HARROW EYE
050051	NDA		WYETH AYERST
050065	NDA		SANDOZ
050081	NDA		ALLERGAN
050126	NDA		WYETH AYERST
050131	NDA		WYETH AYERST
050138	NDA		KING PHARMS LLC
050141	NDA		KING PHARMS LLC
050143	NDA		PARKEDALE
050155	NDA		PARKEDALE
050156	NDA		PARKEDALE
050168	NDA		MONARCH PHARMS
050169	NDA		MONARCH PHARMS
050182	NDA		HOSPIRA
050201	NDA		PARKEDALE
050202	NDA		PARKEDALE
050205	NDA		PARKEDALE
050212	NDA		BRISTOL
050218	NDA		MONARCH PHARMS
050237	NDA		BAYER PHARMS
050257	NDA		LEDERLE
050261	NDA		COREPHARMA
050262	NDA		LEDERLE
050263	NDA		LEDERLE
050266	NDA		STORZ
050268	NDA		STORZ
050273	NDA		LEDERLE
050276	NDA		LEDERLE
050278	NDA		AVET
050286	NDA		PFIZER
050294	BLA		PARKE DAVIS
050316	NDA		PHARMACIA AND UPJOHN
050317	NDA		PFIZER
050339	NDA		PHARMACIA AND UPJOHN
050356	NDA		PH HEALTH
050368	NDA		DISTA
050404	NDA		LEDERLE
050682	NDA		RECORDATI RARE
060006	ANDA		WYETH AYERST
060014	NDA		CASPER PHARMA LLC
060074	ANDA		PFIZER
060075	ANDA		PFIZER
060076	ANDA		PFIZER
060095	ANDA		PFIPHARMECS
060099	ANDA		PFIZER
060101	ANDA		KING PHARMS LLC
060111	ANDA		PFIZER
060173	ANDA		FERRANTE
060174	ANDA		FERRANTE
060180	ANDA		STERISCIENCE
060285	ANDA		PFIZER
060286	ANDA		PFIZER
060304	ANDA		TEVA
060307	ANDA		TEVA
060347	ANDA		PHARMACIA AND UPJOHN
060359	ANDA		AZURITY
060400	ANDA		PH HEALTH
060429	ANDA		APOTHECON
060567	ANDA		PFIZER
060570	ANDA		APOTHECON
060574	ANDA		DELCOR ASSET CORP
060577	ANDA		DELCOR ASSET CORP
060578	ANDA		DELCOR ASSET CORP
060587	ANDA		PFIZER
060593	ANDA		SANALUZ
060611	ANDA		PHARMACIA AND UPJOHN
060647	ANDA		DOW PHARM
060700	ANDA		EUROFARMA
060704	ANDA		IVAX SUB TEVA PHARMS
060716	ANDA		HIKMA
060734	ANDA		PHARMACIA AND UPJOHN
060869	ANDA		PROTER
